@relation citibike_discretized-8bins-eqwidth-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute dayinyear numeric
@attribute hour numeric
@attribute TemperatureF numeric
@attribute 'Dew PointF' numeric
@attribute Humidity numeric
@attribute 'Sea Level PressureIn' numeric
@attribute VisibilityMPH numeric
@attribute 'Wind SpeedMPH' numeric
@attribute 'Gust SpeedMPH' numeric
@attribute PrecipitationIn numeric
@attribute Events=Fog-Rain numeric
@attribute Events=Rain numeric
@attribute Events=Snow numeric
@attribute Events=Fog-Snow numeric
@attribute Events=Fog numeric
@attribute 'Conditions=Mostly Cloudy' numeric
@attribute Conditions=Overcast numeric
@attribute 'Conditions=Light Rain' numeric
@attribute 'Conditions=Heavy Rain' numeric
@attribute 'Conditions=Scattered Clouds' numeric
@attribute Conditions=Clear numeric
@attribute 'Conditions=Partly Cloudy' numeric
@attribute Conditions=Rain numeric
@attribute Conditions=Haze numeric
@attribute Conditions=Unknown numeric
@attribute 'Conditions=Light Snow' numeric
@attribute Conditions=Snow numeric
@attribute 'Conditions=Heavy Snow' numeric
@attribute 'Conditions=Light Freezing Rain' numeric
@attribute Conditions=Fog numeric
@attribute numtrips {'\'(-inf-550.375]\'','\'(550.375-1099.75]\'','\'(1099.75-1649.125]\'','\'(1649.125-2198.5]\'','\'(2198.5-2747.875]\'','\'(2747.875-3297.25]\'','\'(3297.25-3846.625]\'','\'(3846.625-inf)\''}

@data
0,0.043478,0.763695,0.93587,0.816092,0.526316,0.795918,0.210046,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0,0.173913,0.75188,0.93587,0.850575,0.502924,0.897959,0,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0,0.434783,0.742213,0.947826,0.91954,0.549708,0,0.420091,0.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0,0.565217,0.763695,0.968478,0.931034,0.567251,0.387755,?,?,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.002747,0,0.742213,0.947826,0.91954,0.590643,0.693878,0.159817,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.002747,0.130435,0.731472,0.93587,0.91954,0.602339,0.591837,0.26484,?,?,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.002747,0.26087,0.742213,0.947826,0.91954,0.614035,0.693878,0.210046,?,?,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.005495,0,0.742213,0.926087,0.850575,0.660819,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.005495,0.130435,0.75188,0.91413,0.793103,0.666667,1,0.315068,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
0.005495,0.26087,0.75188,0.93587,0.850575,0.690058,1,0.26484,?,?,?,?,?,?,?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,'\'(-inf-550.375]\''
